Name,City,State,Latitude,Longitude
DETROIT CITY,DETROIT,MI,42.40932708300707,-83.01018213926615
DALLAS FORT WORTH INTERNATIONAL,DALLAS-FORT WORTH,TX,32.8972315561211,-97.03769494382844
DOTHAN RGNL,DOTHAN,AL,31.32102777799953,-85.44947222193701
DALHART MUNI,DALHART,TX,36.02247222223369,-102.54738888897053
DULUTH INTERNATIONAL,DULUTH,MN,46.84206975001427,-92.19323722167198
DU PAGE,CHICAGO/WEST CHICAGO,IL,41.9070530558321,-88.2479949997543
BEAUREGARD PARISH,DE RIDDER,LA,30.831722222248743,-93.33991666738602
DURANGO LA PLATA CO,DURANGO,CO,37.15152777775205,-107.75377777801332
DEL RIO INTERNATIONAL,DEL RIO,TX,29.374206943779917,-100.92715694383035
DES MOINES INTERNATIONAL,DES MOINES,IA,41.533972778223216,-93.66307194364222
DETROIT METRO WAYNE CO,DETROIT,MI,42.212444444134114,-83.3533888888456
BISBEE DOUGLAS INTERNATIONAL,DOUGLAS BISBEE,AZ,31.468944443987226,-109.60374999970124
ELIZABETH CITY CGAS RGNL,ELIZABETH CITY,NC,36.26058333315104,-76.17455555601933
ELLINGTON FLD,HOUSTON,TX,29.60733333304633,-95.15874999978062
ELKINS RANDOLPH CO JENNINGS RANDOLPH,ELKINS,WV,38.88944444406029,-79.85713888871969
SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,AR,33.2212378061883,-92.81174888938939
EL PASO INTERNATIONAL,EL PASO,TX,31.807333332841697,-106.37636111083913
WENDOVER,WENDOVER,UT,40.718725278028344,-114.02867361091994
ESLER RGNL,ALEXANDRIA,LA,31.39490249976576,-92.29577194419596
CRAVEN CO RGNL,NEW BERN,NC,35.07285252814834,-77.04302008286068
NEWARK LIBERTY INTERNATIONAL,NEWARK,NJ,40.692479832733255,-74.16868677770569
KEY WEST INTERNATIONAL,KEY WEST,FL,24.556119722056312,-81.75995583290928
FRESNO YOSEMITE INTERNATIONAL,FRESNO,CA,36.776555556324034,-119.7188333330508
FORT LAUDERDALE HOLLYWOOD INTERNATIONAL,FORT LAUDERDALE,FL,26.071666667214785,-80.1496944436178
FLORENCE RGNL,FLORENCE,SC,34.185361111193046,-79.7238888891527
TIPTON,FORT MEADE(ODENTON),MD,39.08538666693274,-76.75941444403658
OTIS ANGB,FALMOUTH,MA,41.659138888893324,-70.52280555593744
FOUR CORNERS RGNL,FARMINGTON,NM,36.74124999987449,-108.22994444408651
PAGE FLD,FORT MYERS,FL,26.586611110710766,-81.86325000015763
FORT DODGE RGNL,FORT DODGE,IA,42.55119444419064,-94.19183333287017
FORBES FLD,TOPEKA,KS,38.95094916709254,-95.6636136108114
THE FRANCIS S GABRESKI,WESTHAMPTON BEACH,NY,40.8436666668142,-72.6317777783848
FORT SMITH RGNL,FORT SMITH,AR,35.33658333292318,-94.36744444428196
FORT WORTH MEACHAM INTERNATIONAL,FORT WORTH,TX,32.819770278042064,-97.36245000012974
FORT LAUDERDALE EXECUTIVE,FORT LAUDERDALE,FL,26.197279361283027,-80.17070627796352
DRAKE FLD,FAYETTEVILLE,AR,36.00508333321049,-94.17005555628565
GAGE,GAGE,OK,36.29597222235133,-99.77573472219956
GARDEN CITY RGNL,GARDEN CITY,KS,37.92752777828776,-100.72441666682073
SPOKANE INTERNATIONAL,SPOKANE,WA,47.61902777796456,-117.53522222175482
GRAND FORKS INTERNATIONAL,GRAND FORKS,ND,47.94727777811709,-97.17377777794896
EAST TEXAS RGNL,LONGVIEW,TX,32.38400000016743,-94.71150000029527
SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,TX,29.265333333034473,-94.86041666692631
GRANTS MILAN MUNI,GRANTS,NM,35.1672777780232,-107.9020555556278
GAINESVILLE RGNL,GAINESVILLE,FL,29.690055556295462,-82.27177777796119
AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,WI,44.48463361118607,-88.1297133331192
GERALD R FORD INTERNATIONAL,GRAND RAPIDS,MI,42.88083333307811,-85.5228055559455
GREAT FALLS INTERNATIONAL,GREAT FALLS,MT,47.48229927791483,-111.37027941695476
MAJORS,GREENVILLE,TX,33.06783333282216,-96.06533333285941
GREENWOOD LEFLORE,GREENWOOD,MS,33.49330894384416,-90.08667741683526
HOBART MUNI,HOBART,OK,34.989916666992606,-99.05305861106467
HARTFORD BRAINARD,HARTFORD,CT,41.73672222167786,-72.64944444381769
JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,CA,33.922861111138374,-118.33508333291776
CHISHOLM HIBBING,HIBBING,MN,47.38658333288075,-92.83897222178523
HICKORY RGNL,HICKORY,NC,35.74114638922237,-81.38954888884078
HELENA RGNL,HELENA,MT,46.606722222221826,-111.98327777792214
LEA CO RGNL,HOBBS,NM,32.687500000280615,-103.2173333332772
HURON RGNL,HURON,SD,44.38519444399592,-98.22855555642488
WILLIAM P HOBBY,HOUSTON,TX,29.645416667192926,-95.2788888892482
WESTCHESTER CO,WHITE PLAINS,NY,41.06695274986902,-73.70756655577325
VALLEY INTERNATIONAL,HARLINGEN,TX,26.227111111362706,-97.6551388892705
BOONE CO,HARRISON,AR,36.26152055615798,-93.15472888891976
HURLBURT FLD,MARY ESTHER,FL,30.42891805625012,-86.68880111139626
ROSCOMMON CO,HOUGHTON LAKE,MI,44.35986902783871,-84.66948302794
TERRE HAUTE INTERNATIONAL HULMAN FLD,TERRE HAUTE,IN,39.45063252803,-87.3069895562913
HOULTON INTERNATIONAL,HOULTON,ME,46.12460694420398,-67.7923602778104
HAVRE CITY CO,HAVRE,MT,48.54297222192159,-109.76233333290013
NORTH PERRY,HOLLYWOOD,FL,26.001222222115086,-80.24072222166268
WASHINGTON DULLES INTERNATIONAL,WASHINGTON,DC,38.94744444403363,-77.45994444416765
NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,NY,43.10755736114168,-78.94584666687159
NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,NY,43.12783333323873,-78.97004194373467
GEORGE BUSH INTCNTL HOUSTON,HOUSTON,TX,29.98443527821907,-95.3414425000344
WICHITA MID CONTINENT,WICHITA,KS,37.64994444365925,-97.43305555576056
GREATER KANKAKEE,KANKAKEE,IL,41.07138888901889,-87.8462777777177
ALBUQUERQUE INTERNATIONAL SUNPORT,ALBUQUERQUE,NM,35.03893155590266,-106.6082621671235
NEW CASTLE CO,WILMINGTON,DE,39.67872222186961,-75.60663888887069
WILMINGTON INTERNATIONAL,WILMINGTON,NC,34.27113888868046,-77.90288888856476
INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,IN,39.71730555632778,-86.29463888888411
WINKLER CO,WINK,TX,31.779805555884064,-103.20169444391834
FALLS INTERNATIONAL,INTERNATIONAL FALLS,MN,48.56558333282675,-93.40216666736912
INDIAN SPRINGS AF AUX,INDIAN SPRINGS,NV,36.58634377789502,-115.67737055601135
SMITH REYNOLDS,WINSTON SALEM,NC,36.13371380576265,-80.22198772166506
IMPERIAL CO,IMPERIAL,CA,32.83422222219837,-115.57874999979279
WILLIAMSPORT RGNL,WILLIAMSPORT,PA,41.241666667238775,-76.9218055560618
LONG ISLAND MAC ARTHUR,NEW YORK,NY,40.796135693855966,-73.10066505614762
JACKSON INTERNATIONAL,JACKSON,MS,32.311166667022626,-90.07588888922487
JACKSONVILLE INTERNATIONAL,JACKSONVILLE,FL,30.494045555807936,-81.68784666727443
JONESBORO MUNI,JONESBORO,AR,35.83171111117703,-90.64642194365595
JOHN F KENNEDY INTERNATIONAL,NEW YORK,NY,40.63992777785641,-73.77869250005828
CAPITAL CITY,LANSING,MI,42.778638888961225,-84.58619444357863
MC CARRAN INTERNATIONAL,LAS VEGAS,NV,36.08004388920421,-115.15223472235434
LOS ANGELES INTERNATIONAL,LOS ANGELES,CA,33.94249638870734,-118.40804861098471
LUBBOCK INTERNATIONAL,LUBBOCK,TX,33.66366666698694,-101.82055555616043
LAKE CHARLES RGNL,LAKE CHARLES,LA,30.126083333223804,-93.22341666718313
RICKENBACKER INTERNATIONAL,COLUMBUS,OH,39.81377777781386,-82.92780555602225
ANGELINA CO,LUFKIN,TX,31.234027778076623,-94.75000000033533
LAFAYETTE RGNL,LAFAYETTE,LA,30.205027778213307,-91.98774999982976
LA GUARDIA,NEW YORK,NY,40.777249999690724,-73.87261111058639
LONG BEACH,LONG BEACH,CA,33.81792972214532,-118.15189055639068
ADAMS FLD,LITTLE ROCK,AR,34.729444443958606,-92.22477777827153
PALM BEACH CO PARK,WEST PALM BEACH,FL,26.59305555581119,-80.08506461061432
LINCOLN MUNI,LINCOLN,NE,40.85088888925748,-96.75911111112308
BOWMAN FLD,LOUISVILLE,KY,38.227984027664036,-85.66374905638907
LAREDO INTERNATIONAL,LAREDO,TX,27.544194444070122,-99.46158333279962
CINCINNATI MUNI LUNKEN FLD,CINCINNATI,OH,39.10333333309796,-84.41861111143204
MIDLAND INTERNATIONAL,MIDLAND,TX,31.94252777819325,-102.20191666729627
MC CLELLAN AFLD,SACRAMENTO,CA,38.667638889300655,-121.40061111128074
KANSAS CITY INTERNATIONAL,KANSAS CITY,MO,39.297611111031195,-94.71388888923202
MIDDLE GEORGIA RGNL,MACON,GA,32.69283333295876,-83.6492222219423
ORLANDO INTERNATIONAL,ORLANDO,FL,28.42938888906966,-81.30899999990764
HARRISBURG INTERNATIONAL,HARRISBURG,PA,40.19319066693472,-76.76262061123566
CHICAGO MIDWAY INTERNATIONAL,CHICAGO,IL,41.78597222208724,-87.75241666655431
MEMPHIS INTERNATIONAL,MEMPHIS,TN,35.042411388972496,-89.976679166639
CASTLE,ATWATER,CA,37.38048444413355,-120.56818638907207
MC ALLEN MILLER INTERNATIONAL,MC ALLEN,TX,26.175833332776868,-98.23861111086573
SACRAMENTO MATHER,SACRAMENTO,CA,38.555310833123706,-121.29721138929155
MIAMI INTERNATIONAL,MIAMI,FL,25.795361110656028,-80.29011583333677
MILLVILLE MUNI,MILLVILLE,NJ,39.367805555869964,-75.0722222222469
GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,WI,42.94693194375353,-87.89706444373381
MC KELLAR SIPES RGNL,JACKSON,TN,35.599888888731165,-88.91561111055752
DAVIS FLD,MUSKOGEE,OK,35.65774999992387,-95.36163888868097
MELBOURNE INTERNATIONAL,MELBOURNE,FL,28.102750000370804,-80.64525000003371
MC ALESTER RGNL,MC ALESTER,OK,34.88238888901072,-95.78347222231706
MILLINOCKET MUNI,MILLINOCKET,ME,45.64783333281975,-68.68555555557758
MONROE RGNL,MONROE,LA,32.51086111088131,-92.03766666725613
MC MINNVILLE MUNI,MC MINNVILLE,OR,45.194555556201884,-123.13605555612429
MENOMINEE MARINETTE TWIN CO,MENOMINEE,MI,45.12668805579037,-87.6385429440852
MOBILE RGNL,MOBILE,AL,30.691416666646248,-88.24283333313235
MODESTO CITY CO HARRY SHAM,MODESTO,CA,37.625833333154944,-120.95441666728853
MINOT INTERNATIONAL,MINOT,ND,48.25763888888441,-101.27802777805411
EDWARD F KNAPP STATE,BARRE/MONTPELIER,VT,44.203489471928805,-72.5620975557686
DANE CO RGNL TRUAX FLD,MADISON,WI,43.13987913889652,-89.33750447231584
MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,MN,44.88197222176151,-93.22177777808385
MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,NY,44.936241110880985,-74.84511972186853
LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,LA,29.99327777794861,-90.25902777761468
SELFRIDGE ANGB,MOUNT CLEMENS,MI,42.61389361116067,-82.83690972162798
GRANT CO INTERNATIONAL,MOSES LAKE,WA,47.20858333290184,-119.31913888886197
MINERAL WELLS,MINERAL WELLS,TX,32.781605556233565,-98.06017500000634
MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,SC,33.679741111302114,-78.92832138907794
BEAUFORT MCAS,BEAUFORT,SC,32.48056674967954,-80.71924413925682
NEW ORLEANS NAS JRB,NEW ORLEANS,LA,29.82721463922745,-90.026589083226
NEW RIVER MCAS,JACKSONVILLE,NC,34.708433332723835,-77.43966111117797
LAKEHURST NAES,LAKEHURST,NJ,40.035780860675445,-74.35137024989086
FALLON NAS,FALLON,NV,39.417830555937385,-118.6985883329105
NORFOLK NS,NORFOLK,VA,36.937467721752235,-76.28927794388684
PATUXENT RIVER NAS,PATUXENT RIVER,MD,38.28633158313382,-76.40995800004114
CHINA LAKE NAWS,CHINA LAKE,CA,35.68570044386035,-117.69210947191691
JACKSONVILLE NAS,JACKSONVILLE,FL,30.23370602790849,-81.67605719365532
EL CENTRO NAF,EL CENTRO,CA,32.826633333129315,-115.66856111129495
CHERRY POINT MCAS,CHERRY POINT,NC,34.903168555973004,-76.88077338939043
MIRAMAR MCAS,SAN DIEGO,CA,32.86852897214365,-117.14318838932343
LEMOORE NAS,LEMOORE,CA,36.33312677765716,-119.95216163894679
MERIDIAN NAS,MERIDIAN,MS,32.553480556313595,-88.55526388911277
PORT ANGELES CGAS,PORT ANGELES,WA,48.1412926390762,-123.41395402816678
PENSACOLA NAS,PENSACOLA,FL,30.353272778092737,-87.31797113904278
MILLINGTON MUNI,MILLINGTON,TN,35.356638889226836,-89.87041666655296
KINGSVILLE NAS,KINGSVILLE,TX,27.504514721836387,-97.80828888913585
KEY WEST NAS,KEY WEST,FL,24.574637082956944,-81.68664544366976
WHITING FLD NAS NORTH,MILTON,FL,30.698575000078584,-87.01440833293226
WHITING FLD NAS NORTH,MILTON,FL,30.722472222070923,-87.02390277808708
POINT MUGU NAS,OXNARD,CA,34.11927444398371,-119.11958499994547
OCEANA NAS,VIRGINIA BEACH,VA,36.822741944285085,-76.03189655635241
MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,CA,37.416142222050674,-122.0491310558614
WHIDBEY ISLAND NAS,OAK HARBOR,WA,48.351840028086094,-122.65595886129438
TWENTYNINE PALMS EAF,TWENTYNINE PALMS,CA,34.29611041695509,-116.1620951394197
QUANTICO MCAF,QUANTICO,VA,38.50362444416899,-77.30503166674552
CECIL FLD,JACKSONVILLE,FL,30.218777777727745,-81.87716666730155
NORTH ISLAND NAS,SAN DIEGO,CA,32.69819611133974,-117.21311000003628
METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,CA,37.72125000016388,-122.22113888902295
OGDENSBURG INTERNATIONAL,OGDENSBURG,NY,44.68224999977104,-75.46324999995058
WILL ROGERS WORLD,OKLAHOMA CITY,OK,35.39307402766114,-97.60076172174247
NOGALES INTERNATIONAL,NOGALES,AZ,31.41772222178185,-110.84788888870493
EPPLEY AFLD,OMAHA,NE,41.30316666666885,-95.89405555603767
ONTARIO INTERNATIONAL,ONTARIO,CA,34.055999999790856,-117.60119444411828
OPA LOCKA,MIAMI,FL,25.907416666615052,-80.27822222162001
CHICAGO OHARE INTERNATIONAL,CHICAGO,IL,41.97452194378772,-87.90659722179845
NORFOLK INTERNATIONAL,NORFOLK,VA,36.89460416688896,-76.20122916707199
EXECUTIVE,ORLANDO,FL,28.54546166730734,-81.33292999977574
OSCODA WURTSMITH,OSCODA,MI,44.4515277779004,-83.39416666700156
SNOHOMISH CO,EVERETT,WA,47.9070000002295,-122.28158333277713
GRIDER FLD,PINE BLUFF,AR,34.174513055971346,-91.93560422231467
PLATTSBURGH INTERNATIONAL,PLATTSBURGH,NY,44.65094444414787,-73.46813888942238
PALM BEACH INTERNATIONAL,WEST PALM BEACH,FL,26.68316166718377,-80.09559194407272
PORTLAND INTERNATIONAL,PORTLAND,OR,45.58870886124275,-122.5968694165518
NEWPORT NEWS WILLIAMSBURG INTERNATIONAL,NEWPORT NEWS,VA,37.13188888913016,-76.49297222184676
PHILADELPHIA INTERNATIONAL,PHILADELPHIA,PA,39.872083888747305,-75.240663055621
ST CLAIR CO INTERNATIONAL,PORT HURON,MI,42.91097222224931,-82.52886111077257
PHOENIX SKY HARBOR INTERNATIONAL,PHOENIX,AZ,33.434277777730614,-112.01158333319862
ST PETERSBURG CLEARWATER INTERNATIONAL,ST PETERSBURG-CLEARWATER,FL,27.908694444277213,-82.6865000001975
PITTSBURGH INTERNATIONAL,PITTSBURGH,PA,40.49141666690949,-80.23269444419412
PEMBINA MUNI,PEMBINA,ND,48.94241666673862,-97.24066666727947
PALMDALE PROD FLT TEST INSTL AF PLT 42,PALMDALE,CA,34.629388889127135,-118.08455277801438
PONCA CITY MUNI,PONCA CITY,OK,36.7319166670133,-97.09977777811694
NORTHEAST PHILADELPHIA,PHILADELPHIA,PA,40.08194444388045,-75.01058333267684
PRINCETON MUNI,PRINCETON,MN,45.55986111081536,-93.60822222185055
PENSACOLA RGNL,PENSACOLA,FL,30.47341666718382,-87.18661111129026
NORTHERN MAINE RGNL AT PRESQUE ISLE,PRESQUE ISLE,ME,46.688963889195044,-68.04479138937724
ERNEST A LOVE FLD,PRESCOTT,AZ,34.65483333315672,-112.41922222174036
PALM SPRINGS INTERNATIONAL,PALM SPRINGS,CA,33.82966666669221,-116.50669444387789
PALACIOS MUNI,PALACIOS,TX,28.727499999976164,-96.25094444419993
PUEBLO MEM,PUEBLO,CO,38.28994749999589,-104.49802805604371
THEODORE FRANCIS GREEN STATE,PROVIDENCE,RI,41.72233333276569,-71.42772222221173
PORTLAND INTERNATIONAL JETPORT,PORTLAND,ME,43.645643500004326,-70.30861636112448
RIVERSIDE MUNI,RIVERSIDE,CA,33.951888889028226,-117.44511111067699
RALEIGH DURHAM INTERNATIONAL,RALEIGH/DURHAM,NC,35.87763888917826,-78.78747222162069
RICHMOND INTERNATIONAL,RICHMOND,VA,37.50518111132918,-77.31973861059097
RANCHO MURIETA,RANCHO MURIETA,CA,38.48677777808241,-121.10277777801862
RANCHO MURIETA,RANCHO MURIETA,CA,38.46907583273063,-121.07522194410184
GRIFFISS AIRPARK,ROME,NY,43.23380555588418,-75.40702777816892
RENO TAHOE INTERNATIONAL,RENO,NV,39.49911111085936,-119.76811111056223
GREATER ROCHESTER INTERNATIONAL,ROCHESTER,NY,43.119143611021336,-77.67186888913128
ROSWELL INDUSTRIAL AIR CENTER,ROSWELL,NM,33.29986966677529,-104.52939763899018
SOUTHWEST FLORIDA INTERNATIONAL,FORT MYERS,FL,26.536166666979653,-81.75516666709295
SACRAMENTO EXECUTIVE,SACRAMENTO,CA,38.512861111050036,-121.49330027762952
SANTA FE MUNI,SANTA FE,NM,35.61711111070307,-106.0894166667676
SAN DIEGO INTERNATIONAL LINDBERGH FLD,SAN DIEGO,CA,32.73355555580745,-117.18966666696492
SAN ANTONIO INTERNATIONAL,SAN ANTONIO,TX,29.53395800035721,-98.46905705628996
SAVANNAH HILTON HEAD INTERNATIONAL,SAVANNAH,GA,32.1275833331747,-81.20213888856739
SAWYER INTERNATIONAL,MARQUETTE,MI,46.34915833301796,-87.39637166744807
EMANUEL CO,SWAINSBORO,GA,32.60913888876968,-82.36994444421278
SALISBURY OCEAN CITY WICOMICO RGNL,SALISBURY,MD,38.340189443704865,-75.50947805636126
STOCKTON METROPOLITAN,STOCKTON,CA,37.89441027766947,-121.2387399998375
SEATTLE TACOMA INTERNATIONAL,SEATTLE,WA,47.4498888890573,-122.31177777829649
CRAIG FLD,SELMA,AL,32.343946666947744,-86.98780555583637
FELTS FLD,SPOKANE,WA,47.6829405562088,-117.32242611092829
SAN FRANCISCO INTERNATIONAL,SAN FRANCISCO,CA,37.61880555583101,-122.37541666713365
NORTH CENTRAL STATE,PAWTUCKET,RI,41.92074999995568,-71.49141666735761
SHREVEPORT RGNL,SHREVEPORT,LA,32.44652777777016,-93.82602777797753
NORMAN Y MINETA SAN JOSE INTERNATIONAL,SAN JOSE,CA,37.36299472218324,-121.92862055581865
SAN ANGELO RGNL MATHIS FLD,SAN ANGELO,TX,31.35775000027413,-100.49630555600766
SALT LAKE CITY INTERNATIONAL,SALT LAKE CITY,UT,40.788393332688344,-111.9777733330524
SACRAMENTO INTERNATIONAL,SACRAMENTO,CA,38.69544444367053,-121.59077777795468
JOHN WAYNE ARPT ORANGE CO,SANTA ANA,CA,33.675666666784444,-117.86822222234628
SCAPPOOSE INDUSTRIAL AIRPARK,SCAPPOOSE,OR,45.78233611125421,-122.89399361074545
SCAPPOOSE INDUSTRIAL AIRPARK,SCAPPOOSE,OR,45.771027777916196,-122.86183333338084
ALBERT WHITTED,ST PETERSBURG,FL,27.76511388927724,-82.6269738888869
LAMBERT ST LOUIS INTERNATIONAL,ST LOUIS,MO,38.74869722229813,-90.37002888902782
SIOUX GATEWAY COL BUD DAY FLD,SIOUX CITY,IA,42.40261111092905,-96.38436111089652
STEWART INTERNATIONAL,NEW YORK,NY,41.50411111100853,-74.10483333255114
SYRACUSE HANCOCK INTERNATIONAL,SYRACUSE,NY,43.111194444289545,-76.10630555643831
WAYNESVILLE RGNL ARPT AT FORNEY FLD,FORT LEONARD WOOD,MO,37.74163888873273,-92.14072222220207
TUCUMCARI MUNI,TUCUMCARI,NM,35.182778055636845,-103.60319444433605
TRUTH OR CONSEQUENCES MUNI,TRUTH OR CONSEQUENCES,NM,33.235361111285066,-107.26988888922892
TETERBORO,TETERBORO,NJ,40.850111110867466,-74.06083333340369
TALLAHASSEE RGNL,TALLAHASSEE,FL,30.3967541669353,-84.35086888905694
KENDALL TAMIAMI EXECUTIVE,MIAMI,FL,25.64756372212231,-80.43322461138162
DADE COLLIER TRAINING AND TRANSITION,MIAMI,FL,25.861805555681215,-80.89699999996898
TONOPAH TEST RANGE,TONOPAH,NV,37.79886758305109,-116.78075408323299
